criterion_id,value,threshold,pass,contributes_to,note
C1_stability_friedman_p,0.0071623431748808345,< 0.05,True,A,"chi2=17.652, N=18, k=7"
C2_softmcc_highest_mean_W,"{'SoftMCC': 0.658796, 'MCC@best': 0.463228, 'F1@best': 0.442638, 'AUPRC': 0.450285, 'AUROC': 0.51894, 'Brier': 0.520139, 'MCC@0.5': 0.410339}",SoftMCC mean W strictly highest,True,B_vs_C,
C3_softmcc_best_stability_mean_rank,"{'SoftMCC': 2.306, 'MCC@best': 3.917, 'F1@best': 4.25, 'AUPRC': 4.528, 'AUROC': 4.028, 'Brier': 3.833, 'MCC@0.5': 5.139}",SoftMCC mean rank lowest,True,A,
C4_nemenyi_gap__MCC@best,1.611,>= CD 2.124,False,A,
C4_nemenyi_gap__F1@best,1.944,>= CD 2.124,False,A,
C4_nemenyi_gap__AUPRC,2.222,>= CD 2.124,True,A,
C4_nemenyi_gap__AUROC,1.722,>= CD 2.124,False,A,
C4_nemenyi_gap__Brier,1.528,>= CD 2.124,False,A,
C4_nemenyi_gap__MCC@0.5,2.833,>= CD 2.124,True,A,
U1_selected_utility_not_significantly_worse,"[{'baseline': 'MCC@best', 'mean_diff': -0.0045398825773281, 'wilcoxon_p': 0.0137902577165332, 'significantly_worse_than_baseline': True}, {'baseline': 'F1@best', 'mean_diff': -0.005700760339266, 'wilcoxon_p': 0.0023150827036773, 'significantly_worse_than_baseline': True}, {'baseline': 'AUPRC', 'mean_diff': -0.0047088338055221, 'wilcoxon_p': 0.066923684965778, 'significantly_worse_than_baseline': False}, {'baseline': 'AUROC', 'mean_diff': -0.0018104772074804, 'wilcoxon_p': 0.699913291547752, 'significantly_worse_than_baseline': False}, {'baseline': 'Brier', 'mean_diff': -0.0031011351478515, 'wilcoxon_p': 0.0365553908497037, 'significantly_worse_than_baseline': True}, {'baseline': 'MCC@0.5', 'mean_diff': 0.005052622388816, 'wilcoxon_p': 0.3408857007152182, 'significantly_worse_than_baseline': False}]",no baseline with mean_diff<0 and p<0.05,False,limitation_reporting,
P1_label_permutation_exceedance,"{'observed_softmcc_w': 0.6587962962962963, 'permutation_count': 200, 'permuted_w_mean': 0.09176234567901234, 'permuted_w_sd': 0.018189958163349906, 'permuted_w_q025': 0.05786458333333333, 'permuted_w_median': 0.0894675925925926, 'permuted_w_q975': 0.1285069444444445, 'exceedance_fraction': 0.004975124378109453}",observed W above permuted distribution,True,mechanism_reporting,scope key 'all6' means all datasets in this run
