dataset_key,dataset,repeat,seed,metric,ranking,selected_candidate
bc,breast_cancer(37%),0,42,SoftMCC,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),0,42,MCC_best,logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C1.0
bc,breast_cancer(37%),0,42,F1_best,logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C1.0
bc,breast_cancer(37%),0,42,AUPRC,logreg_C10.0>logreg_C0.1>logreg_C1.0>hgb_d3>hgb_d6,logreg_C10.0
bc,breast_cancer(37%),0,42,AUROC,logreg_C10.0>logreg_C0.1>logreg_C1.0>hgb_d3>hgb_d6,logreg_C10.0
bc,breast_cancer(37%),0,42,Brier_neg,logreg_C1.0>logreg_C10.0>hgb_d3>logreg_C0.1>hgb_d6,logreg_C1.0
bc,breast_cancer(37%),0,42,MCC_05,logreg_C1.0>logreg_C0.1>hgb_d3>hgb_d6>logreg_C10.0,logreg_C1.0
bc,breast_cancer(37%),1,43,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),1,43,MCC_best,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),1,43,F1_best,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),1,43,AUPRC,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),1,43,AUROC,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),1,43,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),1,43,MCC_05,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
bc,breast_cancer(37%),2,44,SoftMCC,logreg_C10.0>hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),2,44,MCC_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),2,44,F1_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),2,44,AUPRC,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
bc,breast_cancer(37%),2,44,AUROC,logreg_C0.1>hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0,logreg_C0.1
bc,breast_cancer(37%),2,44,Brier_neg,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),2,44,MCC_05,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),3,45,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),3,45,MCC_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),3,45,F1_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),3,45,AUPRC,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),3,45,AUROC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),3,45,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),3,45,MCC_05,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),4,46,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),4,46,MCC_best,hgb_d6>logreg_C10.0>logreg_C1.0>hgb_d3>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),4,46,F1_best,hgb_d6>logreg_C1.0>hgb_d3>logreg_C10.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),4,46,AUPRC,logreg_C10.0>hgb_d6>logreg_C1.0>hgb_d3>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),4,46,AUROC,logreg_C10.0>hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),4,46,Brier_neg,hgb_d6>logreg_C10.0>hgb_d3>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),4,46,MCC_05,logreg_C10.0>hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),5,47,SoftMCC,logreg_C10.0>hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),5,47,MCC_best,logreg_C10.0>hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),5,47,F1_best,logreg_C10.0>hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),5,47,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d6
bc,breast_cancer(37%),5,47,AUROC,hgb_d3>hgb_d6>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d3
bc,breast_cancer(37%),5,47,Brier_neg,logreg_C10.0>hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),5,47,MCC_05,logreg_C10.0>hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),6,48,SoftMCC,logreg_C10.0>logreg_C1.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),6,48,MCC_best,logreg_C10.0>hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),6,48,F1_best,logreg_C10.0>hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),6,48,AUPRC,hgb_d6>logreg_C1.0>logreg_C10.0>hgb_d3>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),6,48,AUROC,hgb_d6>logreg_C1.0>logreg_C10.0>hgb_d3>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),6,48,Brier_neg,logreg_C10.0>logreg_C1.0>hgb_d6>hgb_d3>logreg_C0.1,logreg_C10.0
bc,breast_cancer(37%),6,48,MCC_05,logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C1.0
bc,breast_cancer(37%),7,49,SoftMCC,hgb_d3>hgb_d6>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d3
bc,breast_cancer(37%),7,49,MCC_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d3
bc,breast_cancer(37%),7,49,F1_best,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),7,49,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),7,49,AUROC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),7,49,Brier_neg,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
bc,breast_cancer(37%),7,49,MCC_05,hgb_d3>hgb_d6>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d3
bc,breast_cancer(37%),8,50,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),8,50,MCC_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),8,50,F1_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),8,50,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),8,50,AUROC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),8,50,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
bc,breast_cancer(37%),8,50,MCC_05,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3
