dataset,metric,kendalls_w,bca_lo,bca_hi
breast_cancer(37%),SoftMCC,0.5416666666666666,0.2564816644942587,0.7611111111111111
breast_cancer(37%),MCC@best,0.5083333333333333,0.3036960017466683,0.6430555555555556
breast_cancer(37%),F1@best,0.5763888888888888,0.42095852943153395,0.7251530576314751
breast_cancer(37%),AUPRC,0.3402777777777778,0.08622099357438305,0.5625
breast_cancer(37%),AUROC,0.27361111111111114,0.027777777777777776,0.5621806007909224
breast_cancer(37%),Brier,0.49583333333333335,0.3125,0.7180555555555556
breast_cancer(37%),MCC@0.5,0.33194444444444443,0.08523789758588517,0.6027777777777777
synth(5%),SoftMCC,0.8097222222222222,0.8,0.8347222222222223
synth(5%),MCC@best,0.8069444444444445,0.7597222222222222,0.8555555555555555
synth(5%),F1@best,0.8138888888888889,0.7680555555555556,0.8569444444444444
synth(5%),AUPRC,0.8527777777777777,0.7819444444444444,0.9263888888888889
synth(5%),AUROC,0.6944444444444444,0.48618673798130124,0.8013888888888889
synth(5%),Brier,0.8222222222222222,0.7777777777777778,0.8924934605607288
synth(5%),MCC@0.5,0.5888888888888889,0.12029492106025688,0.8402777777777778
synth(1%),SoftMCC,0.7805555555555556,0.5621862265789307,0.9263888888888889
synth(1%),MCC@best,0.27361111111111114,0.032237261023467044,0.5236111111111111
synth(1%),F1@best,0.31666666666666665,0.13022750521515997,0.5513888888888889
synth(1%),AUPRC,0.24305555555555555,0.04072658524907841,0.5327760772175998
synth(1%),AUROC,0.4361111111111111,0.11354046455279343,0.6541666666666667
synth(1%),Brier,0.2263888888888889,0.05442894792061747,0.35139656535907365
synth(1%),MCC@0.5,0.4083333333333333,0.098776102801142,0.7013888888888888
creditcard(1%),SoftMCC,0.6430555555555556,0.44305555555555554,0.7777777777777778
creditcard(1%),MCC@best,0.5263888888888889,0.3489176007830157,0.6622517365217062
creditcard(1%),F1@best,0.5263888888888889,0.3183426744968238,0.6638888888888889
creditcard(1%),AUPRC,0.4361111111111111,0.10366163360510044,0.7055555555555556
creditcard(1%),AUROC,0.2152777777777778,0.03705851738269383,0.39909121337378733
creditcard(1%),Brier,0.7402777777777778,0.6717454584216151,0.7777777777777778
creditcard(1%),MCC@0.5,0.6402777777777777,0.4036950361830665,0.7555555555555555
creditcard(0.5%),SoftMCC,0.8791666666666667,0.806569665420724,0.9138888888888889
creditcard(0.5%),MCC@best,0.22916666666666666,0.016260412386151304,0.39055475630962316
creditcard(0.5%),F1@best,0.20555555555555555,0.008686148253976516,0.36527777777777776
creditcard(0.5%),AUPRC,0.4888888888888889,0.22187849776616278,0.6527777777777778
creditcard(0.5%),AUROC,0.5916666666666667,0.2803742440646057,0.7666666666666667
creditcard(0.5%),Brier,0.6986111111111111,0.4652777777777778,0.8322484719443619
creditcard(0.5%),MCC@0.5,0.7513888888888889,0.75,0.75
iotid20(6.4%),SoftMCC,0.7694444444444445,0.75,0.8013888888888889
iotid20(6.4%),MCC@best,0.8194444444444444,0.7583653698584198,0.8597222222222223
iotid20(6.4%),F1@best,0.7777777777777778,0.7513888888888889,0.8180555555555555
iotid20(6.4%),AUPRC,0.7722222222222223,0.75,0.7986111111111112
iotid20(6.4%),AUROC,0.7611111111111111,0.75,0.7791666666666667
iotid20(6.4%),Brier,0.7819444444444444,0.7513888888888889,0.8236111111111111
iotid20(6.4%),MCC@0.5,0.7680555555555556,0.7527777777777778,0.7805555555555556
