dataset_key,dataset,source,cache_path,cache_sha256,rows,features,positive_rows,negative_rows,prevalence,unique_exact_feature_label_groups,exact_duplicate_rows_with_label,X_sha256,y_sha256
bc,breast_cancer(37%),sklearn.load_breast_cancer,,,569,30,212,357,0.37258347978910367,569,0,6b202a2072f9a0385f405a8f8605b1b06f6f36ae6d23d9cd6cbbc0974a416bc7,cf3718c3daedd1aa2ed0e61287957d1861f3f3cdc31097111991a7a8b1df32e7
synth5,synth(5%),sklearn.make_classification seed=1,,,4000,25,221,3779,0.05525,4000,0,739805baf6d589826f12320f75a910ad763b21a6dde542f4f50ac69c61a3ea49,5fa8c378c5441905cbe368efdb799ebb07a1f30671bafe74dde7a87ddfb8b3ef
synth1,synth(1%),sklearn.make_classification seed=2,,,4000,25,52,3948,0.013,4000,0,98a7a8c1ebc8f8d0c47f80cda67343ee53d2f55efbd96c1ed6419d69dd68118a,cf9a37bf58f135679ac9e92fe2ab42a8f0b1e93172d964c17c4a269069f5792d
cc10,creditcard(1%),02_data/creditcard_pi10.npz,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/creditcard_pi10.npz,f25f9d529c04b43f96ffbfd3fd5345229b8bf710de05c04c70e0022f6d04263b,49200,29,492,48708,0.01,48631,569,d1308b1a05de75e70da5377643ed1d45e7927c4e61abb0f506273e61e4b49c1f,c52dc167879d20939ecc328913bb0bd316b11f7c8b07ec9767dab3cdee38136a
cc5,creditcard(0.5%),02_data/creditcard_pi5.npz,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/creditcard_pi5.npz,ae39d638ada84c6f13bb80a31c8959a3f98807454b7861df8c2bd13799a3ce41,98400,29,492,97908,0.005,96700,1700,77186deb0b916a4a2f39c499fe8638f4082df24091ad021bbb21c3da938a3db8,fe34db2fa0e3a0d735b4935f94f536a2938cc7ee9c7a23ce1d25b7b77cbe8c86
iot,iotid20(6.4%),02_data/iotid20_compact.npz,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/iotid20_compact.npz,c91bcf66509f88244b78fdea711f1fe3345e724d71c6cc3a7580e444cbf28623,40000,79,2561,37439,0.064025,28285,11715,3a166298abad51ab396c46b44c24eaa1349623422fe86ae0f2d2b98e56a0ba66,3ae8d008c14268468118ee9eba26e46b650003288f89ea6bf43a5b6c428bd0b5
abalone,abalone(9.4%),imblearn.fetch_datasets,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/expansion/abalone.npz,64bfdce64229a2698f31a2c0321fd1465f976c77f03a6b23609c703090dbc38b,4177,10,391,3786,0.09360785252573617,4177,0,88de713fe357591d3d28ec755b439318e1adb28f3d39814e0527218307a95761,4d0b5eefa89a9eec34d22ddfa8802b11d152a42e844d1afb451366afed20972a
car_eval_34,car_eval_34(7.8%),imblearn.fetch_datasets,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/expansion/car_eval_34.npz,e530c30916c440dead4f21c73a53eda2a6f2a365f484c5436e935dba413ab03e,1728,21,134,1594,0.0775462962962963,1728,0,ac6b30fac495aeb20374eec934d34a33d65f8601fe2f6d3b84e586ae8be7860b,b470b058c54e6e3d7a993a48de9a8d1f305bf7b616cdae487b92f6aae3d65e9c
car_eval_4,car_eval_4(3.8%),imblearn.fetch_datasets,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/expansion/car_eval_4.npz,311eba8c12b708b8088a6bef9f1b76216016fdfc50513acadcaaa56f6b80fb29,1728,21,65,1663,0.03761574074074074,1728,0,ac6b30fac495aeb20374eec934d34a33d65f8601fe2f6d3b84e586ae8be7860b,5afa52cc4f6e4bceff30673aef218e971f9919884f1fe5026a5e2c70004bac6a
coil_2000,coil_2000(6.0%),imblearn.fetch_datasets,/home/ubuntu/experiments/softmcc_theory/2026-07-24_claude_vps_marsilya_dataset_expansion/staging/02_data/expansion/coil_2000.npz,c6a83589a7d6efe41eaf3cee65bf8a2058c806cc51a97f94584c31e0f05c5581,9822,85,586,9236,0.059661983302789656,8380,1442,be9713fe83527281d0923f35089481facef8e9886735aa07ad287914647a8a46,31f6ffe2f991722de00f176d0668ca5ea4eea25044880722881b16c42a410e84
