dataset_key,dataset,repeat,seed,metric,candidate_order_json,validation_scores_json,midranks_json,tie_correction_T,tied_group_count,largest_tie_size,deterministic_selection_order,selected_candidate,selection_tie_break
bc,breast_cancer(37%),0,42,SoftMCC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8197432159196457, 0.8493561225970473, 0.844352799267014, 0.8499666056638787, 0.8500789113749191]","[5.0, 3.0, 4.0, 2.0, 1.0]",0.0,0,1,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),0,42,MCC_best,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8996680586556846, 0.9333333333333333, 0.9333005094465512, 0.916787749092078, 0.9164463522048965]","[5.0, 1.0, 2.0, 3.0, 4.0]",0.0,0,1,logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C1.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),0,42,F1_best,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9361702127659575, 0.9583333333333334, 0.9574468085106383, 0.9473684210526315, 0.9473684210526315]","[5.0, 1.0, 2.0, 3.5, 3.5]",6.0,1,2,logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6>logreg_C0.1,logreg_C1.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),0,42,AUPRC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9839097532738011, 0.9798439608404168, 0.9901338472943301, 0.9787965038386168, 0.9728199567728641]","[2.0, 3.0, 1.0, 4.0, 5.0]",0.0,0,1,logreg_C10.0>logreg_C0.1>logreg_C1.0>hgb_d3>hgb_d6,logreg_C10.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),0,42,AUROC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9894531249999999, 0.9835937499999998, 0.99375, 0.9821614583333333, 0.9790364583333334]","[2.0, 3.0, 1.0, 4.0, 5.0]",0.0,0,1,logreg_C10.0>logreg_C0.1>logreg_C1.0>hgb_d3>hgb_d6,logreg_C10.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),0,42,Brier_neg,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[-0.04159266023553933, -0.03423371751685317, -0.037665299285912196, -0.04041615735362418, -0.04230647113351321]","[4.0, 1.0, 2.0, 3.0, 5.0]",0.0,0,1,logreg_C1.0>logreg_C10.0>hgb_d3>logreg_C0.1>hgb_d6,logreg_C1.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),0,42,MCC_05,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8840585430410928, 0.9333005094465512, 0.8840585430410928, 0.8682431421244592, 0.8682431421244592]","[2.5, 1.0, 2.5, 4.5, 4.5]",12.0,2,2,logreg_C1.0>logreg_C0.1>logreg_C10.0>hgb_d3>hgb_d6,logreg_C1.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,SoftMCC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.7858121593987102, 0.8201759596561233, 0.8287688026845207, 0.8509508223143901, 0.8534593532782176]","[5.0, 4.0, 3.0, 2.0, 1.0]",0.0,0,1,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,MCC_best,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8507395944549714, 0.8783100656536799, 0.8740884951559715, 0.9343531843023135, 0.934395000572037]","[5.0, 3.0, 4.0, 2.0, 1.0]",0.0,0,1,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,F1_best,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9072164948453608, 0.9230769230769231, 0.9215686274509803, 0.9583333333333334, 0.9591836734693877]","[5.0, 3.0, 4.0, 2.0, 1.0]",0.0,0,1,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,AUPRC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9673356617595228, 0.9759785144174318, 0.9714138951017913, 0.9937555852814047, 0.9934296372222052]","[5.0, 3.0, 4.0, 1.0, 2.0]",0.0,0,1,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,AUROC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.980859375, 0.9872395833333334, 0.9864583333333333, 0.99609375, 0.99609375]","[5.0, 3.0, 4.0, 1.5, 1.5]",6.0,1,2,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,Brier_neg,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[-0.05803692726366361, -0.04981183470105445, -0.04985112730190029, -0.028942812520339468, -0.02893289402145012]","[5.0, 3.0, 4.0, 2.0, 1.0]",0.0,0,1,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),1,43,MCC_05,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8378688987532451, 0.8528924408510195, 0.8740884951559715, 0.9013190713482481, 0.9035841064985977]","[5.0, 4.0, 3.0, 2.0, 1.0]",0.0,0,1,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),2,44,SoftMCC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8434515505731502, 0.8522361908489918, 0.8976740087000971, 0.8805068584984782, 0.8787973805944275]","[5.0, 4.0, 1.0, 2.0, 3.0]",0.0,0,1,logreg_C10.0>hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1,logreg_C10.0,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),2,44,MCC_best,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.8996680586556846, 0.9188164942501321, 0.9343531843023135, 0.9505863757867169, 0.9505863757867169]","[5.0, 4.0, 3.0, 1.5, 1.5]",6.0,1,2,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),2,44,F1_best,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9361702127659575, 0.9494949494949495, 0.9565217391304348, 0.967741935483871, 0.967741935483871]","[5.0, 4.0, 3.0, 1.5, 1.5]",6.0,1,2,hgb_d3>hgb_d6>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d3,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),2,44,AUPRC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9834376372419851, 0.9822466969003376, 0.9779341862233811, 0.9833451658965473, 0.9833451658965473]","[1.0, 4.0, 5.0, 2.5, 2.5]",6.0,1,2,logreg_C0.1>hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0,logreg_C0.1,candidate_declaration_order_only_for_exact_score_ties
bc,breast_cancer(37%),2,44,AUROC,"[""logreg_C0.1"", ""logreg_C1.0"", ""logreg_C10.0"", ""hgb_d3"", ""hgb_d6""]","[0.9911458333333334, 0.9839843749999999, 0.9834635416666666, 0.9859374999999999, 0.9855468749999999]","[1.0, 4.0, 5.0, 2.0, 3.0]",0.0,0,1,logreg_C0.1>hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0,logreg_C0.1,candidate_declaration_order_only_for_exact_score_ties
