dataset,metric,blocks_with_any_tie,total_tied_groups,largest_tie_size,total_tie_correction_T,repeat_count
breast_cancer(37%),SoftMCC,0,0,1,0.0,12
breast_cancer(37%),MCC@best,4,4,2,24.0,12
breast_cancer(37%),F1@best,5,5,3,48.0,12
breast_cancer(37%),AUPRC,2,2,2,12.0,12
breast_cancer(37%),AUROC,1,1,2,6.0,12
breast_cancer(37%),Brier,0,0,1,0.0,12
breast_cancer(37%),MCC@0.5,7,9,2,54.0,12
synth(5%),SoftMCC,0,0,1,0.0,12
synth(5%),MCC@best,5,5,3,48.0,12
synth(5%),F1@best,4,4,2,24.0,12
synth(5%),AUPRC,0,0,1,0.0,12
synth(5%),AUROC,0,0,1,0.0,12
synth(5%),Brier,0,0,1,0.0,12
synth(5%),MCC@0.5,9,9,3,108.0,12
synth(1%),SoftMCC,0,0,1,0.0,12
synth(1%),MCC@best,3,3,2,18.0,12
synth(1%),F1@best,5,5,2,30.0,12
synth(1%),AUPRC,0,0,1,0.0,12
synth(1%),AUROC,0,0,1,0.0,12
synth(1%),Brier,0,0,1,0.0,12
synth(1%),MCC@0.5,12,12,5,900.0,12
creditcard(1%),SoftMCC,0,0,1,0.0,12
creditcard(1%),MCC@best,11,16,3,114.0,12
creditcard(1%),F1@best,11,16,3,114.0,12
creditcard(1%),AUPRC,0,0,1,0.0,12
creditcard(1%),AUROC,0,0,1,0.0,12
creditcard(1%),Brier,0,0,1,0.0,12
creditcard(1%),MCC@0.5,5,5,2,30.0,12
creditcard(0.5%),SoftMCC,0,0,1,0.0,12
creditcard(0.5%),MCC@best,2,2,2,12.0,12
creditcard(0.5%),F1@best,2,2,2,12.0,12
creditcard(0.5%),AUPRC,0,0,1,0.0,12
creditcard(0.5%),AUROC,0,0,1,0.0,12
creditcard(0.5%),Brier,0,0,1,0.0,12
creditcard(0.5%),MCC@0.5,7,7,2,42.0,12
iotid20(6.4%),SoftMCC,0,0,1,0.0,12
iotid20(6.4%),MCC@best,4,4,2,24.0,12
iotid20(6.4%),F1@best,4,4,2,24.0,12
iotid20(6.4%),AUPRC,0,0,1,0.0,12
iotid20(6.4%),AUROC,0,0,1,0.0,12
iotid20(6.4%),Brier,0,0,1,0.0,12
iotid20(6.4%),MCC@0.5,0,0,1,0.0,12
abalone(9.4%),SoftMCC,0,0,1,0.0,12
abalone(9.4%),MCC@best,0,0,1,0.0,12
abalone(9.4%),F1@best,0,0,1,0.0,12
abalone(9.4%),AUPRC,0,0,1,0.0,12
abalone(9.4%),AUROC,0,0,1,0.0,12
abalone(9.4%),Brier,0,0,1,0.0,12
abalone(9.4%),MCC@0.5,12,13,4,348.0,12
car_eval_34(7.8%),SoftMCC,0,0,1,0.0,12
car_eval_34(7.8%),MCC@best,1,1,2,6.0,12
car_eval_34(7.8%),F1@best,1,1,2,6.0,12
car_eval_34(7.8%),AUPRC,0,0,1,0.0,12
car_eval_34(7.8%),AUROC,0,0,1,0.0,12
car_eval_34(7.8%),Brier,0,0,1,0.0,12
car_eval_34(7.8%),MCC@0.5,5,6,3,90.0,12
car_eval_4(3.8%),SoftMCC,0,0,1,0.0,12
car_eval_4(3.8%),MCC@best,7,8,4,138.0,12
car_eval_4(3.8%),F1@best,7,8,4,138.0,12
car_eval_4(3.8%),AUPRC,0,0,1,0.0,12
car_eval_4(3.8%),AUROC,1,1,2,6.0,12
car_eval_4(3.8%),Brier,0,0,1,0.0,12
car_eval_4(3.8%),MCC@0.5,10,10,3,114.0,12
coil_2000(6.0%),SoftMCC,0,0,1,0.0,12
coil_2000(6.0%),MCC@best,0,0,1,0.0,12
coil_2000(6.0%),F1@best,0,0,1,0.0,12
coil_2000(6.0%),AUPRC,0,0,1,0.0,12
coil_2000(6.0%),AUROC,0,0,1,0.0,12
coil_2000(6.0%),Brier,0,0,1,0.0,12
coil_2000(6.0%),MCC@0.5,11,13,5,522.0,12
mammography(2.3%),SoftMCC,0,0,1,0.0,12
mammography(2.3%),MCC@best,4,4,2,24.0,12
mammography(2.3%),F1@best,6,6,2,36.0,12
mammography(2.3%),AUPRC,0,0,1,0.0,12
mammography(2.3%),AUROC,0,0,1,0.0,12
mammography(2.3%),Brier,0,0,1,0.0,12
mammography(2.3%),MCC@0.5,7,8,3,66.0,12
ozone_level(2.9%),SoftMCC,0,0,1,0.0,12
ozone_level(2.9%),MCC@best,1,1,2,6.0,12
ozone_level(2.9%),F1@best,2,2,2,12.0,12
ozone_level(2.9%),AUPRC,0,0,1,0.0,12
ozone_level(2.9%),AUROC,0,0,1,0.0,12
ozone_level(2.9%),Brier,0,0,1,0.0,12
ozone_level(2.9%),MCC@0.5,12,14,5,450.0,12
protein_homo(0.9%),SoftMCC,0,0,1,0.0,12
protein_homo(0.9%),MCC@best,3,3,2,18.0,12
protein_homo(0.9%),F1@best,3,3,2,18.0,12
protein_homo(0.9%),AUPRC,0,0,1,0.0,12
protein_homo(0.9%),AUROC,0,0,1,0.0,12
protein_homo(0.9%),Brier,0,0,1,0.0,12
protein_homo(0.9%),MCC@0.5,5,5,2,30.0,12
sick_euthyroid(9.3%),SoftMCC,0,0,1,0.0,12
sick_euthyroid(9.3%),MCC@best,1,1,2,6.0,12
sick_euthyroid(9.3%),F1@best,1,1,2,6.0,12
sick_euthyroid(9.3%),AUPRC,0,0,1,0.0,12
sick_euthyroid(9.3%),AUROC,0,0,1,0.0,12
sick_euthyroid(9.3%),Brier,0,0,1,0.0,12
sick_euthyroid(9.3%),MCC@0.5,1,1,2,6.0,12
thyroid_sick(6.1%),SoftMCC,0,0,1,0.0,12
thyroid_sick(6.1%),MCC@best,1,1,2,6.0,12
thyroid_sick(6.1%),F1@best,1,1,2,6.0,12
thyroid_sick(6.1%),AUPRC,0,0,1,0.0,12
thyroid_sick(6.1%),AUROC,0,0,1,0.0,12
thyroid_sick(6.1%),Brier,0,0,1,0.0,12
thyroid_sick(6.1%),MCC@0.5,1,1,2,6.0,12
us_crime(7.5%),SoftMCC,0,0,1,0.0,12
us_crime(7.5%),MCC@best,0,0,1,0.0,12
us_crime(7.5%),F1@best,3,3,2,18.0,12
us_crime(7.5%),AUPRC,0,0,1,0.0,12
us_crime(7.5%),AUROC,0,0,1,0.0,12
us_crime(7.5%),Brier,0,0,1,0.0,12
us_crime(7.5%),MCC@0.5,2,2,2,12.0,12
wine_quality(3.7%),SoftMCC,0,0,1,0.0,12
wine_quality(3.7%),MCC@best,1,1,2,6.0,12
wine_quality(3.7%),F1@best,2,2,2,12.0,12
wine_quality(3.7%),AUPRC,0,0,1,0.0,12
wine_quality(3.7%),AUROC,0,0,1,0.0,12
wine_quality(3.7%),Brier,0,0,1,0.0,12
wine_quality(3.7%),MCC@0.5,9,10,2,60.0,12
yeast_ml8(7.4%),SoftMCC,0,0,1,0.0,12
yeast_ml8(7.4%),MCC@best,0,0,1,0.0,12
yeast_ml8(7.4%),F1@best,0,0,1,0.0,12
yeast_ml8(7.4%),AUPRC,0,0,1,0.0,12
yeast_ml8(7.4%),AUROC,0,0,1,0.0,12
yeast_ml8(7.4%),Brier,0,0,1,0.0,12
yeast_ml8(7.4%),MCC@0.5,11,11,5,972.0,12
