dataset,W_SoftMCC,meanTestMCC_SoftMCC,W_kappa_only,meanTestMCC_kappa_only,W_rho_only,meanTestMCC_rho_only
breast_cancer(37%),0.5680555555555555,0.891767186258166,0.3736111111111111,0.8808121202512699,0.5333333333333333,0.8943944173687313
synth(5%),0.8597222222222223,0.4952090982658743,0.7902777777777777,0.48852942145179584,0.8402777777777778,0.5044651043297234
synth(1%),0.6388888888888888,0.1919237612807204,0.5541666666666667,0.16641236492101394,0.4527777777777778,0.1791452630644548
creditcard(1%),0.6361111111111111,0.8584596118378215,0.5263888888888889,0.8550631841520159,0.7722222222222223,0.8567711463932771
creditcard(0.5%),0.8791666666666667,0.6023907531512459,0.8861111111111111,0.6039800982635702,0.6791666666666667,0.5948362188059031
iotid20(6.4%),0.7680555555555556,0.9774565090920051,0.7597222222222222,0.9759924211962434,0.7597222222222222,0.9771738882454842
abalone(9.4%),0.7458333333333333,0.35595802351221223,0.5430555555555555,0.34413425999434194,0.6347222222222222,0.35898051781187174
car_eval_34(7.8%),0.22361111111111112,0.7826417730483733,0.2611111111111111,0.738865578150047,0.2222222222222222,0.8002959518227769
car_eval_4(3.8%),0.8902777777777777,0.8178490740656623,0.9402777777777778,0.8124956815913863,0.6875,0.8136459426304574
coil_2000(6.0%),0.7319444444444444,0.15765999649562143,0.475,0.1496288308949739,0.5347222222222222,0.15922890193629266
mammography(2.3%),0.5944444444444444,0.4938146887070107,0.5444444444444444,0.46160745090447763,0.5402777777777777,0.4979172127670554
ozone_level(2.9%),0.8152777777777778,0.25458972678879654,0.48333333333333334,0.265686219206748,0.4263888888888889,0.26351820295942946
protein_homo(0.9%),0.7930555555555555,0.755534905044848,0.7111111111111111,0.7562634747569311,0.25972222222222224,0.7605426263466978
sick_euthyroid(9.3%),0.8305555555555556,0.8293659536547625,0.8125,0.8312362824883794,0.7888888888888889,0.8323739141681759
thyroid_sick(6.1%),0.8444444444444444,0.8223024488869773,0.8097222222222222,0.8247136562915655,0.7791666666666667,0.8270945345319575
us_crime(7.5%),0.7125,0.48232458279909846,0.7097222222222223,0.48232458279909846,0.1638888888888889,0.48565568401848136
wine_quality(3.7%),0.03194444444444444,0.23330067744800412,0.4111111111111111,0.18809631158368814,0.1125,0.24384500255998853
yeast_ml8(7.4%),0.29444444444444445,0.04311406110731574,0.2513888888888889,0.050032266731693475,0.16527777777777777,0.04961118847671839
