scheme,setting,source_family
conservative_source_collection_14_families,abalone(9.4%),abalone
conservative_source_collection_14_families,breast_cancer(37%),breast_cancer
conservative_source_collection_14_families,car_eval_34(7.8%),car_evaluation_source
conservative_source_collection_14_families,car_eval_4(3.8%),car_evaluation_source
conservative_source_collection_14_families,coil_2000(6.0%),coil_2000
conservative_source_collection_14_families,creditcard(0.5%),creditcard_source
conservative_source_collection_14_families,creditcard(1%),creditcard_source
conservative_source_collection_14_families,iotid20(6.4%),iotid20
conservative_source_collection_14_families,mammography(2.3%),mammography
conservative_source_collection_14_families,ozone_level(2.9%),ozone_level
conservative_source_collection_14_families,protein_homo(0.9%),protein_homo
conservative_source_collection_14_families,synth(1%),synthetic_generator
conservative_source_collection_14_families,synth(5%),synthetic_generator
conservative_source_collection_14_families,sick_euthyroid(9.3%),thyroid_disease_collection
conservative_source_collection_14_families,thyroid_sick(6.1%),thyroid_disease_collection
conservative_source_collection_14_families,us_crime(7.5%),us_crime
conservative_source_collection_14_families,wine_quality(3.7%),wine_quality
conservative_source_collection_14_families,yeast_ml8(7.4%),yeast_ml8
documented_overlap_15_families,abalone(9.4%),abalone
documented_overlap_15_families,breast_cancer(37%),breast_cancer
documented_overlap_15_families,car_eval_34(7.8%),car_evaluation_source
documented_overlap_15_families,car_eval_4(3.8%),car_evaluation_source
documented_overlap_15_families,coil_2000(6.0%),coil_2000
documented_overlap_15_families,creditcard(0.5%),creditcard_source
documented_overlap_15_families,creditcard(1%),creditcard_source
documented_overlap_15_families,iotid20(6.4%),iotid20
documented_overlap_15_families,mammography(2.3%),mammography
documented_overlap_15_families,ozone_level(2.9%),ozone_level
documented_overlap_15_families,protein_homo(0.9%),protein_homo
documented_overlap_15_families,sick_euthyroid(9.3%),sick_euthyroid
documented_overlap_15_families,synth(1%),synthetic_generator
documented_overlap_15_families,synth(5%),synthetic_generator
documented_overlap_15_families,thyroid_sick(6.1%),thyroid_sick
documented_overlap_15_families,us_crime(7.5%),us_crime
documented_overlap_15_families,wine_quality(3.7%),wine_quality
documented_overlap_15_families,yeast_ml8(7.4%),yeast_ml8
primary_18_settings,abalone(9.4%),abalone(9.4%)
primary_18_settings,breast_cancer(37%),breast_cancer(37%)
primary_18_settings,car_eval_34(7.8%),car_eval_34(7.8%)
primary_18_settings,car_eval_4(3.8%),car_eval_4(3.8%)
primary_18_settings,coil_2000(6.0%),coil_2000(6.0%)
primary_18_settings,creditcard(0.5%),creditcard(0.5%)
primary_18_settings,creditcard(1%),creditcard(1%)
primary_18_settings,iotid20(6.4%),iotid20(6.4%)
primary_18_settings,mammography(2.3%),mammography(2.3%)
primary_18_settings,ozone_level(2.9%),ozone_level(2.9%)
primary_18_settings,protein_homo(0.9%),protein_homo(0.9%)
primary_18_settings,sick_euthyroid(9.3%),sick_euthyroid(9.3%)
primary_18_settings,synth(1%),synth(1%)
primary_18_settings,synth(5%),synth(5%)
primary_18_settings,thyroid_sick(6.1%),thyroid_sick(6.1%)
primary_18_settings,us_crime(7.5%),us_crime(7.5%)
primary_18_settings,wine_quality(3.7%),wine_quality(3.7%)
primary_18_settings,yeast_ml8(7.4%),yeast_ml8(7.4%)
