scheme,metric,mean_rank,rank_gap_vs_softmcc,nemenyi_separated_from_softmcc
primary_18_settings,SoftMCC,2.3055555555555554,0.0,False
primary_18_settings,Brier,3.8333333333333335,1.5277777777777781,False
primary_18_settings,MCC@best,3.9166666666666665,1.6111111111111112,False
primary_18_settings,AUROC,4.027777777777778,1.7222222222222223,False
primary_18_settings,F1@best,4.25,1.9444444444444446,False
primary_18_settings,AUPRC,4.527777777777778,2.2222222222222223,True
primary_18_settings,MCC@0.5,5.138888888888889,2.833333333333334,True
documented_overlap_15_families,SoftMCC,1.9666666666666666,0.0,False
documented_overlap_15_families,Brier,3.933333333333333,1.9666666666666666,False
documented_overlap_15_families,MCC@best,3.966666666666667,2.0,False
documented_overlap_15_families,AUROC,4.033333333333333,2.0666666666666664,False
documented_overlap_15_families,F1@best,4.233333333333333,2.2666666666666666,False
documented_overlap_15_families,AUPRC,4.5,2.533333333333333,True
documented_overlap_15_families,MCC@0.5,5.366666666666666,3.3999999999999995,True
conservative_source_collection_14_families,SoftMCC,2.0357142857142856,0.0,False
conservative_source_collection_14_families,AUROC,3.8214285714285716,1.785714285714286,False
conservative_source_collection_14_families,Brier,4.0,1.9642857142857144,False
conservative_source_collection_14_families,MCC@best,4.071428571428571,2.0357142857142856,False
conservative_source_collection_14_families,F1@best,4.285714285714286,2.25,False
conservative_source_collection_14_families,AUPRC,4.392857142857143,2.3571428571428577,False
conservative_source_collection_14_families,MCC@0.5,5.392857142857143,3.3571428571428577,True
